country,city,season,pollutant,seasonal_avg
BE,Antwerpen,spring,pm25,7.769230769230769
BE,Antwerpen,spring,so2,0.9
BE,Antwerpen,winter,no2,14.5
BE,Antwerpen,winter,pm10,38.4
BE,Antwerpen,winter,pm25,19.0
BE,Antwerpen,winter,so2,5.5
BE,Brabant wallon,spring,co,0.16
BE,Brabant wallon,spring,no2,14.0
BE,Brabant wallon,spring,o3,39.0
BE,Brabant wallon,spring,pm10,8.042
BE,Brabant wallon,spring,pm25,2.6573515
BE,Brabant wallon,spring,so2,1.0
BE,Brussels,summer,co,10.0
BE,Brussels,summer,no2,8.5
BE,Brussels,summer,o3,48.75
BE,Brussels,summer,pm10,12.75
BE,Brussels,summer,pm25,5.45
BE,Brussels,summer,so2,3.0
BE,Brussels-Capital Region,spring,co,0.35428571428571426
BE,Brussels-Capital Region,spring,no2,25.90909090909091
BE,Brussels-Capital Region,spring,o3,78.0
BE,Brussels-Capital Region,spring,pm10,29.833333333333332
BE,Brussels-Capital Region,spring,pm25,13.09
BE,Brussels-Capital Region,spring,so2,24.2
BE,Flanders,spring,pm10,39.2
BE,Flanders,spring,pm25,20.5
BE,Flanders,spring,so2,2.25
BE,Flanders,summer,no2,8.25
BE,Flanders,summer,o3,49.25
BE,Flanders,summer,pm10,14.95
BE,Flanders,summer,pm25,5.5
BE,Flanders,summer,so2,0.0
BE,Flanders,winter,no2,46.666666666666664
BE,Flanders,winter,o3,2.75
BE,Flanders,winter,pm10,34.7
BE,Flanders,winter,pm25,24.75
BE,Flanders,winter,so2,3.1
BE,Hainaut,spring,co,0.21875
BE,Hainaut,spring,no2,32.1
BE,Hainaut,spring,o3,12.0
BE,Hainaut,spring,pm10,17.327714285714286
BE,Hainaut,spring,pm25,8.134301371428572
BE,Hainaut,spring,so2,1.0
BE,Liege,spring,co,0.22
BE,Liege,spring,no2,21.8
BE,Liege,spring,o3,29.625
BE,Liege,spring,pm10,17.61342857142857
BE,Liege,spring,pm25,7.6634622142857145
BE,Liege,spring,so2,2.0
BE,Limburg,spring,no2,24.875
BE,Limburg,spring,o3,29.666666666666668
BE,Limburg,spring,pm10,17.7
BE,Limburg,spring,pm25,8.5
BE,Limburg,winter,pm10,38.7
BE,Limburg,winter,pm25,25.0
BE,Luxembourg,spring,co,0.14500000000000002
BE,Luxembourg,spring,no2,6.0
BE,Luxembourg,spring,o3,62.625
BE,Luxembourg,spring,pm10,10.542
BE,Luxembourg,spring,pm25,4.410643525
BE,Luxembourg,spring,so2,0.5
BE,Namur,spring,no2,5.666666666666667
BE,Namur,spring,o3,29.833333333333332
