country,city,year,avg_bc,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm25,avg_so2,pollutant_span
CA,SASKATCHEWAN,2019,,,,0.0194,,13.25,,13.2306
CH,Aargau,2018,,,10.2542,20.2127,,,,9.9585
CH,Basel-Landschaft,2019,,,3.158,88.3231,3.7156,2.955,0.0,88.3231
CH,Basel-Stadt,2019,,,22.675549999999998,77.1797,9.03035,,,68.14935
CH,Bern,2018,,,,,13.7511,,,0.0
CH,Bern,2019,,273.4,18.84555,63.32485,7.353,5.1839,0.1877,273.21229999999997
CH,Genève,2019,,,10.265133333333333,70.47413333333333,3.983333333333333,,,66.4908
CH,Lucerne,2019,,,,85.2983,5.2153,,,80.083
CH,Neuchâtel,2019,,,2.8379,84.4156,2.0852,,,82.3304
CH,Sankt Gallen,2019,,,4.1394,83.1901,5.1525,,,79.0507
CH,Schwyz,2019,,149.8,4.2175,108.6439,3.2399,3.0873,0.0,149.8
CH,Thurgau,2019,,,5.8843,102.3064,5.0494,,,97.25699999999999
CH,Ticino,2019,,265.2,9.5844,71.35576666666667,5.198566666666667,3.0138000000000003,0.35315,264.84684999999996
CH,Valais,2019,,,3.6342,69.0939,2.8335,,,66.2604
CH,Vaud,2019,,237.2,22.876399999999997,62.04225,4.17225,2.0634,0.1684,237.0316
CH,Zürich,2019,,216.03333333333333,26.808699999999998,67.05123999999999,9.07902,4.56485,0.49606666666666666,215.53726666666665
CL,21 de mayo,2019,,,,,41.65,33.53,,8.119999999999997
CL,Alto Hospicio,2019,,,,,,13.0,,0.0
CL,Andacollo,2018,,,,,19.22,,,0.0
CL,Andacollo,2019,,,,,144.0,,,0.0
CL,Antofagasta,2019,,,,,82.0,27.0,0.75,81.25
CL,Arica,2019,,,,,,15.15,,0.0
CL,Balneario Curanilahue,2019,,,,,,147.0,,0.0
CL,Cabrero,2017,,13698.5,2.88,13.66,37.46,0.0,2.06,13698.5
CL,Cabrero,2018,,666.27,,19.01,15.55,,3.68,662.59
CL,Calabozo,2019,,,,,,,3.9,0.0
CL,Calama,2019,,552.25,,38.25,34.9,6.455,3.125,549.125
CL,Catemu,2019,,,,,,,7.0,0.0
CL,Cayumanqui,2017,,,,,,,0.0,0.0
CL,Centro Quintero,2019,,788.58,24.97,13.19,,,462.89,775.39
CL,Cerrillos,2017,,950.18,36.97,0.0,,,,950.18
CL,Cerrillos,2019,,,,,188.0,61.0,,127.0
CL,Cerro Navia,2019,,1648.51,105.47,5.63,151.0,55.0,,1642.8799999999999
CL,Chaitén,2018,,,,,51.99,,,0.0
CL,Chillán,2019,,,,,87.02,49.0,,38.019999999999996
CL,Club Deportivo 23 de Marzo,2019,,,,,55.13,0.66,,54.470000000000006
CL,Concepción,2019,,874.96,,18.43,59.0,43.0,17.97,856.99
CL,Concón,2019,,852.88,46.71,20.055,,34.0,91.84,832.825
CL,Consultorio - San Vicente,2019,,,13.95,,70.0,40.0,5.99,64.01
CL,Copiapo Sivica,2019,,,,,133.33,23.88,,109.45000000000002
CL,Coquimbo,2019,,,,,,17.585,,0.0
CL,Coronel,2016,,,,,0.0,,4.97,4.97
CL,Coronel,2017,,2493.3733333333334,11.25,366.28000000000003,31.896666666666665,,92.5,2482.1233333333334
CL,Coronel,2019,,,,,,26.0,,0.0
CL,Coronel Norte,2017,,2906.65,,1.11,182.3,,3.09,2905.54
CL,Coronel Sur,2017,,,,493.72,,,,0.0
CL,Coronel Sur,2019,,628.5,,,5.06,,8.55,623.44
CL,Coyhaique,2019,,,,,38.0,14.0,,24.0
CL,Coyhaique II,2018,,,94.65,,,,,0.0
CL,Coyhaique II,2019,,939.2,,25.34,43.0,13.0,1.49,937.71
CL,Cuncumen ,2019,,,,,43.68,,,0.0
CL,Curicó,2019,,,,,78.26,67.0,,11.260000000000005
CL,El Bosque,2019,,1841.53,24.44,4.17,150.0,32.0,3.82,1837.71
CL,El Sauce,2019,,,,,41.35,,,0.0
CL,Escuela E-10,2019,,789.07,10.21,21.88,51.73,25.94,367.68,778.86
CL,Freirina,2019,,,,,,,5.343333333333334,0.0
CL,Gendarmería,2017,,,,,11.4,46.24,,34.84
CL,Gobernación,2019,,,,,173.83,,7.1,166.73000000000002
CL,Hualpén,2017,,83.38,103.285,52.68,30.555,,1046.365,1015.8100000000001
CL,Hualpén,2019,,,,,22.2,,,0.0
CL,Hualqui,2019,,,7.52,6.3,34.0,33.0,1.52,32.48
CL,Huasco,2019,,83.34,11.486666666666666,30.450000000000003,59.88,12.6125,7.60375,75.73625
CL,Independencia,2017,,,,,,,0.0,0.0
CL,Independencia,2019,,2008.21,130.28,1.04,156.0,48.0,,2007.17
CL,Indura,2017,,376.64,26.59,24.45,51.33,,6.07,370.57
CL,Junta de Vecinos,2019,,,,,,,9.76,0.0
CL,La Greda,2019,,,17.03,10.84,39.62,,6.47,33.15
CL,La Unión,2019,,,,0.01,,35.0,,34.99
CL,Las Condes,2019,,206.06,55.84,19.44,107.0,13.0,,193.06
CL,Las Gaviotas,2019,,,,,,,0.0,0.0
CL,Liceo Polivalente,2019,,,26.6,15.11,85.0,62.0,4.32,80.68
CL,Linares,2019,,,,,,189.0,,0.0
CL,Llayllay,2016,,740.7,,983.1,57.87,,0.1651,982.9349
CL,Lo Campo,2019,,,,,,,6.0,0.0
CL,Loncura,2019,,343.44,19.93,13.33,29.61,10.75,25.68,332.69
CL,Los Andes,2019,,,,15.71,,,,0.0
CL,Los Maitenes,2019,,281.85,10.27,16.24,27.13,,16.06,271.58000000000004
CL,Los Ángeles Oriente,2019,,,,,,25.0,,0.0
CL,Machalí,2019,,,,,,,11.115,0.0
CL,Machal��,2019,,,,,,,15.95,0.0
CL,Mirasol,2019,,,,,,22.0,,0.0
CL,Nueva Libertad,2019,,1284.47,7.46,,64.98,13.69,5.07,1279.4
CL,Osorno,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Osorno,2019,,,,,61.0,38.0,,23.0
CL,Padre Las Casas II,2017,,,0.0,0.0,,,0.0,0.0
